Timestamp,AccX,AccY,AccZ,AngularVelX,AngularVelY,AngularVelZ,MagX,MagY,MagZ,AirPressure
208292,0.373027,9.78479,-0.0669536,1.96,-2.8,0.14,21.6879,-50.7781,-18.458,1023.28
208298,0.420851,9.78479,-0.0908656,1.54,-2.38,17.85,21.7169,-49.7295,-18.6206,1023.26
208304,0.420851,9.84218,-0.071736,1.68,-2.66,0.14,22.3271,-50.0071,-17.7931,1023.26
208310,0.406504,9.84218,-0.071736,1.54,-2.94,0.07,22.4724,-50.1921,-17.2021,1023.29
208316,0.411286,9.81827,-0.0334768,1.54,-2.94,0.07,22.7339,-49.9454,-19.0196,1023.29
208322,0.392157,9.84696,-0.0908656,1.82,-2.38,0,20.6709,-50.5622,-18.5319,1023.27
208328,0.396939,9.8374,-0.0860832,1.68,-2.73,0.35,21.3392,-50.5622,-18.0591,1023.27
208334,0.387374,9.83261,-0.124342,1.54,-2.52,0.07,21.3973,-50.2538,-17.5419,1023.31
208340,0.396939,9.81827,-0.0526064,1.68,-2.45,-0.21,21.7751,-49.7604,-18.4433,1023.31
208346,0.382592,9.83261,-0.0669536,1.61,-2.52,0.35,21.3973,-50.4697,-17.9113,1023.31
208352,0.37781,9.83261,-0.114778,1.26,-2.66,0.42,21.8622,-50.3772,-19.123,1023.29
208358,0.353898,9.85653,-0.0813008,1.12,-2.73,0.35,21.746,-49.637,-18.8275,1023.29
208364,0.468675,9.81827,-0.023912,1.47,-2.38,0.28,22.792,-50.5314,-18.6649,1023.27
208370,0.353898,9.88044,-0.191296,1.12,-2.1,0.56,22.0366,-50.5005,-17.7783,1023.27
208376,0.33955,9.77523,0.0191296,1.33,-2.94,0.21,22.269,-49.7604,-18.9457,1023.28
208382,0.420851,9.8087,-0.0526064,1.75,-2.24,0.7,21.8622,-49.9454,-18.7831,1023.28
208388,0.406504,9.87566,-0.105213,1.75,-2.66,0.56,21.8913,-50.4389,-18.1477,1023.24
208394,0.449546,9.78479,-0.071736,1.47,-2.52,0.7,21.9785,-50.408,-18.857,1023.24
208400,0.349115,9.8374,-0.0669536,2.1,-3.08,0.14,21.4554,-49.5137,-19.1673,1023.28
208406,0.439981,9.82783,-0.133907,1.47,-2.52,0.14,22.4724,-50.6856,-17.7783,1023.28
208412,0.416069,9.76088,-0.0621712,1.82,-2.1,0.21,22.2109,-50.1921,-17.5567,1023.28
208418,0.387374,9.88522,-0.11956,1.54,-2.66,0.21,20.1479,-50.7473,-19.7731,1023.25
208424,0.425634,9.88522,-0.0573888,1.75,-2.73,0.21,21.0777,-49.9763,-17.8522,1023.25
208430,0.406504,9.79914,-0.0095648,1.47,-2.73,0.35,22.1818,-50.7781,-18.0295,1023.26
208436,0.45911,9.81349,-0.0669536,1.54,-2.24,0.07,22.0366,-50.0688,-17.6601,1023.26
208442,0.382592,9.8087,-0.10043,1.12,-2.1,0.07,21.4554,-49.7604,-17.8374,1023.3
208448,0.363462,9.78001,-0.0573888,1.61,-2.38,0.07,21.4845,-50.2847,-18.3251,1023.3
208454,0.430416,9.85653,-0.0813008,1.82,-2.38,0.35,21.4845,-49.9763,-18.7979,1023.27
208460,0.387374,9.84218,-0.109995,1.33,-2.31,0.56,21.6879,-49.5753,-17.2759,1023.27
208466,0.382592,9.80392,-0.047824,1.75,-2.66,-0.14,21.1939,-50.3463,-19.1082,1023.27
208472,0.35868,9.87087,-0.0765184,1.26,-2.87,0.28,21.6879,-50.8089,-17.9261,1023.26
208478,0.425634,9.81827,-0.11956,1.19,-2.66,0.77,21.1358,-49.9146,-19.3299,1023.26
208484,0.353898,9.82305,0,2.03,-2.87,0.07,21.6007,-49.9146,-18.1182,1023.27
208490,0.392157,9.8087,-0.0669536,1.68,-2.66,0.42,21.6588,-50.6239,-18.0886,1023.27
208496,0.37781,9.85653,-0.0908656,1.61,-2.66,0.35,21.7751,-50.408,-19.5072,1023.26
208502,0.45911,9.8374,-0.10043,1.4,-2.59,0.63,21.8332,-49.9763,-18.2512,1023.26
208508,0.406504,9.84218,-0.0573888,1.61,-3.01,0.07,21.746,-50.0688,-17.2612,1023.31
208514,0.439981,9.81827,-0.176949,1.68,-1.96,0.21,20.9324,-50.5314,-17.9556,1023.31
208520,0.37781,9.88044,-0.0573888,1.47,-2.73,0.49,21.8041,-49.7912,-18.7831,1023.31
208526,0.463893,9.8374,-0.143472,1.33,-2.59,0.21,21.4554,-50.6547,-19.4333,1023.26
208532,0.396939,9.77523,-0.0382592,1.96,-2.94,0.07,21.7169,-50.5314,-17.335,1023.26
208538,0.411286,9.88522,-0.124342,1.4,-2.66,0.56,22.0656,-49.8837,-18.133,1023.29
208544,0.439981,9.81349,-0.172166,1.12,-2.66,-0.07,22.0656,-50.223,-19.0787,1023.29
208550,0.416069,9.78001,-0.0765184,1.82,-2.52,-0.49,21.3101,-50.408,-18.6206,1023.26
208556,0.444763,9.81827,-0.133907,1.33,-2.24,0.7,21.4845,-49.5137,-19.2855,1023.26
208562,0.35868,9.82305,-0.10043,1.54,-3.29,-0.07,21.6588,-50.5622,-17.9556,1023.3
208568,0.47824,9.78001,-0.133907,1.33,-2.52,0.49,21.6588,-50.7473,-18.1921,1023.3
208574,0.387374,9.78001,-0.023912,2.03,-2.24,0,22.1818,-50.2538,-17.2021,1023.27
208580,0.363462,9.84218,-0.0813008,1.54,-2.31,0.14,21.7169,-49.8837,-17.9852,1023.27
208586,0.439981,9.82783,-0.148254,1.61,-2.66,0.28,21.5717,-49.637,-17.8374,1023.27
208592,0.37781,9.83261,-0.0908656,0.91,-3.08,0.07,22.0366,-50.5314,-18.0739,1023.27
208598,0.463893,9.77523,-0.023912,1.47,-2.24,0.21,21.6588,-50.3772,-20.0096,1023.27
208604,0.396939,9.80392,-0.0669536,2.1,-2.38,0.07,21.223,-49.6062,-18.0591,1023.27
208610,0.392157,9.84218,-0.109995,1.19,-2.45,0.28,21.252,-50.408,-16.7735,1023.27
208616,0.416069,9.81827,-0.114778,1.54,-2.45,0.35,20.8743,-50.223,-18.9161,1023.27
208622,0.439981,9.76088,-0.0621712,1.82,-2.31,0.35,21.3101,-50.6239,-18,1023.27
208628,0.392157,9.8087,-0.0860832,1.68,-2.59,0.21,21.3973,-50.3463,-17.5271,1023.3
208634,0.420851,9.86131,-0.133907,1.12,-2.38,0.14,21.9494,-50.0379,-17.4089,1023.3
208640,0.353898,9.84696,-0.0430416,1.33,-2.38,0.35,20.7581,-49.7295,-18.9013,1023.3
208646,0.401722,9.81349,-0.0813008,2.1,-2.52,0.07,21.8332,-50.7473,-18.9013,1023.29
208652,0.411286,9.84696,-0.0765184,1.89,-2.66,-0.07,21.6588,-50.7473,-18.4433,1023.29
208658,0.416069,9.87087,-0.153037,1.05,-2.24,-0.14,21.6879,-50.1613,-19.2264,1023.27
208664,0.382592,9.81349,-0.0382592,1.4,-2.45,0.28,21.746,-50.8089,-17.5419,1023.27
208670,0.449546,9.78957,-0.0765184,1.75,-2.45,0.21,21.8913,-50.408,-16.8917,1023.29
208676,0.387374,9.86131,-0.0669536,1.33,-2.45,0,21.7169,-49.9763,-18.9013,1023.29
208682,0.406504,9.8374,-0.105213,1.26,-2.03,0.14,21.0777,-50.1921,-18.3842,1023.29
208688,0.406504,9.8087,-0.095648,1.33,-2.38,0.21,21.9203,-50.7164,-18.1625,1023.29
208694,0.396939,9.82783,-0.0813008,1.89,-2.73,-0.21,21.9785,-49.2978,-18.4285,1023.29
208700,0.392157,9.84218,-0.10043,1.33,-2.45,0.42,21.3392,-49.3595,-18.3694,1023.29
208706,0.420851,9.8374,-0.133907,1.54,-2.17,0.21,21.8622,-49.9146,-18.7831,1023.29
208712,0.320421,9.83261,-0.0669536,1.47,-2.52,0.77,21.8913,-50.5005,-17.5419,1023.3
208718,0.411286,9.76566,-0.047824,2.1,-2.8,0.21,22.269,-49.8221,-18.8718,1023.3
208724,0.382592,9.90435,-0.13869,1.68,-3.29,0.42,21.8041,-49.7604,-18.3103,1023.3
208730,0.396939,9.87566,-0.114778,0.91,-2.8,0.7,21.5717,-50.7164,-18.4433,1023.3
208736,0.435198,9.76566,-0.0765184,1.75,-2.73,0.14,21.1649,-50.1613,-17.4089,1023.28
208742,0.373027,9.82305,-0.0573888,2.1,-2.87,0.28,21.5135,-49.8529,-18.1625,1023.28
208748,0.435198,9.87087,-0.129125,1.61,-2.24,0.42,22.0075,-50.2538,-17.2907,1023.28
208754,0.396939,9.81349,-0.0573888,1.4,-2.59,0.28,20.7581,-49.2361,-17.5271,1023.28
208760,0.454328,9.80392,-0.047824,1.82,-2.87,0.07,21.6588,-49.3595,-18.4433,1023.28
208766,0.411286,9.86131,-0.109995,1.68,-2.66,0.35,21.6298,-50.1305,-17.7931,1023.31
208772,0.416069,9.83261,-0.0908656,1.47,-2.66,0.14,22.1237,-50.2847,-17.7192,1023.31
208778,0.439981,9.8087,-0.071736,1.68,-2.45,-0.14,20.9324,-50.1305,-18.7388,1023.31
208784,0.416069,9.81827,-0.0334768,1.61,-2.66,0.14,21.6879,-49.4212,-17.9852,1023.31
208790,0.401722,9.81349,-0.143472,1.61,-1.82,0,21.8913,-49.452,-16.9361,1023.29
208796,0.35868,9.8374,-0.0621712,1.4,-2.59,-0.07,21.6007,-49.6987,-17.9852,1023.29
208802,0.425634,9.79914,-0.0765184,1.19,-2.52,0,22.0075,-49.6062,-18.591,1023.31
208808,0.387374,9.80392,-0.0526064,1.96,-2.59,0.35,21.746,-49.8221,-16.8031,1023.31
208814,0.353898,9.78479,-0.0621712,1.89,-2.87,0.14,21.2811,-49.7295,-17.867,1023.31
208820,0.35868,9.86131,-0.071736,1.61,-3.22,0,20.8452,-49.5137,-18.9013,1023.28
208826,0.406504,9.82305,-0.148254,1.82,-2.8,0.28,21.4264,-50.3463,-18.0148,1023.28
208832,0.47824,9.8374,-0.267814,1.82,-2.59,0.28,21.3392,-50.1921,-17.5715,1023.3
208838,0.282162,9.80392,-0.071736,0.77,-2.1,0.42,20.6128,-49.7604,-18.2068,1023.3
208844,0.37781,9.61741,0.129125,3.01,-3.08,0.84,21.0196,-49.8221,-18.3398,1023.28
208850,0.382592,9.89479,-0.224773,1.89,-2.87,0.49,21.5717,-50.1613,-18.5024,1023.28
208856,0.396939,9.83261,-0.148254,1.54,-3.71,0.07,21.252,-49.5753,-18.9604,1023.33
208862,0.425634,9.78479,-0.0430416,2.17,-2.31,0.7,21.1649,-49.6987,-17.9852,1023.33
208868,0.33955,9.88522,-0.071736,1.4,-3.22,0.7,21.4554,-50.3772,-18.8866,1023.33
208874,0.449546,9.77523,-0.10043,2.1,-3.01,-0.14,20.4966,-49.8221,-19.1969,1023.29
208880,0.444763,9.83261,-0.10043,1.75,-2.66,0.35,20.9905,-49.0511,-18.6501,1023.29
208886,0.449546,9.92826,-0.124342,1.19,-2.94,0.7,20.9324,-50.8706,-18.2068,1023.28
208892,0.463893,9.84218,-0.133907,1.54,-2.45,0.21,19.9154,-50.5005,-17.6897,1023.28
208898,0.420851,9.85174,-0.071736,1.82,-2.52,-0.14,21.3392,-48.8044,-20.1426,1023.32
208904,0.37781,9.8087,-0.109995,1.47,-2.8,0,20.8162,-48.8969,-19.4924,1023.32
208910,0.430416,9.84218,-0.143472,1.05,-2.8,-0.28,21.3683,-50.8089,-18.6797,1023.3
208916,0.444763,9.88044,-0.167384,1.54,-2.45,-0.07,21.6298,-49.6062,-18.3546,1023.3
208922,0.315638,9.7561,0.0430416,1.75,-3.36,0.28,21.5426,-49.8837,-19.2116,1023.33
208928,0.463893,9.81349,-0.143472,1.75,-2.31,-0.07,21.3392,-50.7164,-17.7192,1023.33
208934,0.325203,9.79914,-0.0382592,1.47,-2.59,0.14,21.0486,-49.1128,-18.3842,1023.33
208940,0.396939,9.79436,-0.133907,1.96,-2.38,0.35,20.8743,-48.7118,-19.6697,1023.28
208946,0.420851,9.87566,-0.162602,1.82,-2.73,0.14,21.223,-49.5137,-17.7783,1023.28
208952,0.387374,9.78479,-0.0382592,1.75,-3.57,-0.35,21.3392,-49.9454,-17.601,1023.31
208958,0.449546,9.78479,-0.114778,2.03,-3.15,0.28,21.3392,-49.3903,-17.2316,1023.31
208964,0.37781,9.87566,-0.162602,1.4,-2.94,0.42,20.9905,-49.4212,-18.1625,1023.33
208970,0.439981,9.78957,-0.047824,1.61,-2.94,17.71,21.8332,-49.8837,-18.6797,1023.33
208976,0.411286,9.80392,-0.10043,1.68,-2.87,0.07,20.9615,-49.4212,-19.6254,1023.31
208982,0.430416,9.88044,-0.143472,1.68,-2.94,-0.21,21.223,-49.4212,-18.8866,1023.31
208988,0.430416,9.84696,-0.124342,1.47,-2.8,-0.14,21.1649,-50.4697,-18.0739,1023.31
208994,0.406504,9.8374,-0.105213,1.54,-2.52,0.07,21.7751,-49.9454,-18.6058,1023.33
209000,0.439981,9.78957,-0.109995,1.19,-2.45,-0.28,21.1067,-49.4212,-20.1426,1023.33
209006,0.401722,9.86131,-0.124342,1.4,-2.66,-0.21,21.4554,-49.9454,-18.3694,1023.32
209012,0.401722,9.82305,-0.124342,0.7,-2.45,-0.14,21.9203,-49.9146,-17.6601,1023.32
209018,0.363462,9.77044,-0.0813008,1.68,-2.59,-0.07,21.6298,-49.5445,-19.7879,1023.33
209024,0.411286,9.85174,-0.148254,1.68,-2.52,-0.21,21.8041,-49.5753,-17.867,1023.33
209030,0.368245,9.82305,-0.109995,1.4,-2.59,0.21,21.7751,-50.1613,-18.3103,1023.31
209036,0.373027,9.76088,-0.0095648,1.75,-2.73,0.07,21.0777,-49.7295,-19.0048,1023.31
209042,0.406504,9.8374,-0.167384,1.75,-2.59,0.21,21.0777,-49.3903,-17.6453,1023.31
209048,0.363462,9.82783,-0.095648,1.12,-2.94,-0.07,21.1649,-51.765,-18.2068,1023.32
209054,0.416069,9.74653,-0.0765184,1.61,-2.52,0.77,21.4845,-49.7912,-17.9704,1023.32
209060,0.373027,9.87087,-0.157819,1.47,-2.45,0.28,21.3973,-49.8529,-19.3742,1023.31
209066,0.420851,9.87566,-0.129125,1.33,-2.87,-0.28,21.9785,-50.3772,-17.3794,1023.31
209072,0.344333,9.78479,-0.0382592,1.96,-2.8,0.42,21.5135,-49.6987,-19.0343,1023.32
209078,0.392157,9.8374,-0.109995,1.33,-2.24,0.42,21.4264,-49.2053,-19.123,1023.32
209084,0.406504,9.8087,-0.129125,1.75,-2.31,0.35,21.4554,-49.2053,-17.601,1023.3
209090,0.373027,9.8087,-0.129125,1.96,-2.59,0.21,21.252,-49.8221,-18,1023.3
209096,0.45911,9.81349,-0.0908656,1.54,-3.15,0.28,21.8622,-49.3903,-19.3003,1023.32
209102,0.449546,9.84696,-0.162602,1.33,-2.38,0.35,21.6298,-49.5445,-19.5072,1023.32
209108,0.392157,9.86609,-0.124342,1.33,-2.87,0.42,21.8332,-50.4389,-19.2116,1023.32
209114,0.396939,9.84218,-0.0908656,1.19,-2.52,-0.21,22.3271,-49.8837,-18.9604,1023.31
209120,0.439981,9.87566,-0.11956,1.75,-2.94,0,21.6007,-49.6679,-18.7979,1023.31
209126,0.425634,9.81349,-0.133907,0.77,-2.66,0.63,21.3101,-49.5753,-18.7388,1023.32
209132,0.401722,9.77044,-0.0908656,1.96,-2.73,-0.14,21.3683,-49.9763,-17.7045,1023.32
209138,0.430416,9.88044,-0.186514,1.75,-2.59,0,21.3101,-48.9277,-19.3446,1023.3
209144,0.435198,9.85653,-0.133907,1.19,-2.03,0.49,21.7169,-50.2847,-18.6206,1023.3
209150,0.387374,9.80392,-0.0860832,1.26,-1.96,0,21.223,-49.5753,-18.2068,1023.28
209156,0.392157,9.82783,-0.0860832,1.4,-2.38,-0.21,21.1649,-48.9277,-18.8718,1023.28
209162,0.344333,9.85653,-0.109995,1.05,-2.8,0.63,21.9203,-49.452,-17.6453,1023.28
209168,0.416069,9.83261,-0.114778,1.26,-2.31,0.14,22.0366,-50.3155,-17.5419,1023.31
209174,0.416069,9.78957,-0.047824,1.54,-2.38,0.14,22.1528,-50.3463,-19.3003,1023.31
209180,0.392157,9.80392,-0.114778,1.47,-2.66,-0.35,21.1939,-50.223,-19.0934,1023.3
209186,0.387374,9.87566,-0.129125,1.12,-2.73,0.28,21.3683,-49.8529,-18.5763,1023.3
209192,0.396939,9.82783,-0.0908656,1.26,-2.52,0.21,21.8622,-50.2847,-18.2807,1023.3
209198,0.473458,9.80392,-0.095648,1.96,-2.8,-0.21,21.1939,-49.2361,-19.7879,1023.3
209204,0.439981,9.86131,-0.143472,1.4,-2.59,0.14,21.5717,-50.1305,-18,1023.31
209210,0.454328,9.86131,-0.13869,1.26,-2.45,0.07,21.8622,-50.4389,-17.9556,1023.31
209216,0.435198,9.77523,-0.047824,1.4,-2.03,-0.28,21.3392,-49.7912,-18.2807,1023.31
209222,0.382592,9.86131,-0.071736,1.33,-2.31,-0.07,22.4434,-50.408,-19.0934,1023.3
209228,0.37781,9.86609,-0.124342,1.54,-2.59,0.14,21.7169,-50.3772,-18.4285,1023.3
209234,0.373027,9.82783,-0.10043,1.12,-2.31,-0.21,21.6298,-50.0688,-18.7979,1023.28
209240,0.430416,9.77523,-0.0382592,1.33,-2.24,0.35,21.8913,-49.6679,-20.246,1023.28
209246,0.420851,9.83261,-0.0813008,1.54,-2.24,-0.28,21.6007,-50.7781,-19.2264,1023.32
209252,0.406504,9.87087,-0.167384,1.33,-2.52,-0.07,21.3973,-50.5931,-18.1921,1023.32
209258,0.416069,9.78957,-0.0669536,1.05,-2.45,0.21,21.5135,-49.6062,-19.9209,1023.31
209264,0.396939,9.81349,-0.105213,1.47,-1.68,-0.07,22.0947,-49.5753,-19.2412,1023.31
209270,0.353898,9.86131,-0.109995,1.54,-2.45,0.07,21.0486,-50.4697,-18.6058,1023.32
209276,0.425634,9.89,-0.196078,0.56,-1.75,0.63,21.1939,-49.7604,-18.724,1023.32
209282,0.263032,9.71784,0.200861,1.33,-3.15,0.63,21.3101,-49.8837,-19.4924,1023.32
209288,0.549976,9.88044,-0.176949,2.31,-2.66,-0.21,21.8041,-50.6547,-18.5763,1023.32
209294,0.349115,9.87566,-0.167384,1.61,-3.08,0.56,21.3392,-50.4697,-20.3347,1023.32
209300,0.487805,9.79914,-0.114778,1.47,-2.59,0.7,21.4554,-50.9015,-20.8223,1023.28
209306,0.444763,9.88522,-0.162602,1.4,-2.38,0.21,21.3101,-49.8837,-18.5763,1023.28
209312,0.35868,9.75131,-0.0047824,1.12,-2.38,0.14,22.3562,-50.1305,-18.2807,1023.3
209318,0.439981,9.71305,-0.0047824,2.38,-2.8,-0.56,21.8622,-50.6856,-19.9652,1023.3
209324,0.387374,9.93783,-0.181731,1.19,-3.01,0.28,21.5717,-50.0071,-19.3299,1023.3
209330,0.492587,9.83261,-0.191296,1.33,-2.59,-0.21,21.3973,-50.6547,-17.5715,1023.3
209336,0.363462,9.81349,-0.0813008,2.03,-3.01,-0.7,21.8041,-50.6856,-19.5958,1023.3
209342,0.329986,9.81349,-0.0286944,1.4,-2.45,0.21,22.0656,-50.8089,-19.9652,1023.31
209348,0.492587,9.81349,-0.143472,1.75,-1.75,0.56,21.6298,-50.8398,-17.3941,1023.31
209354,0.373027,9.88522,-0.157819,1.05,-2.17,-0.28,21.1067,-50.0688,-18.6649,1023.31
209360,0.416069,9.76566,-0.0286944,1.33,-2.31,0.14,21.7169,-50.0379,-18.5319,1023.31
209366,0.329986,9.79436,-0.0191296,1.75,-2.24,0.42,22.0656,-50.8089,-18.0443,1023.32
209372,0.435198,9.88522,-0.133907,1.12,-2.31,-0.07,21.6298,-50.7473,-17.9113,1023.32
209378,0.435198,9.85174,-0.0860832,1.26,-1.89,0.14,21.4554,-49.6987,-18.8422,1023.33
209384,0.368245,9.80392,-0.0095648,1.4,-2.31,-0.49,22.0366,-49.8529,-18.6797,1023.33
209390,0.435198,9.84218,-0.133907,1.82,-2.24,-0.14,21.3101,-50.5314,-18.3103,1023.33
209396,0.37781,9.8374,-0.0908656,1.19,-2.52,0.21,21.1939,-49.7912,-18.6649,1023.29
209402,0.416069,9.78957,-0.095648,1.61,-2.31,-0.21,21.2811,-50.4389,-20.4676,1023.29
209408,0.396939,9.8087,-0.071736,1.4,-1.89,0.14,22.24,-50.0688,-20.113,1023.29
209414,0.363462,9.85174,-0.10043,1.12,-2.1,0.49,21.3683,-49.5753,-18.0295,1023.29
209420,0.416069,9.80392,-0.0573888,1.54,-2.94,-0.07,21.6007,-49.8529,-18.3694,1023.32
209426,0.468675,9.83261,-0.124342,1.47,-2.31,-0.14,21.6298,-50.0996,-18.0739,1023.32
209432,0.392157,9.89,-0.13869,1.33,-2.38,-0.14,21.3683,-50.5005,-18.4285,1023.34
209438,0.449546,9.79914,-0.0860832,0.98,-2.45,-0.07,20.9615,-49.2053,-20.8518,1023.34
209444,0.444763,9.8087,-0.11956,1.54,-1.89,-0.07,21.9785,-49.4828,-20.0096,1023.31
209450,0.373027,9.84696,-0.0908656,1.12,-2.73,0,21.4845,-50.4697,-18.9604,1023.31
209456,0.396939,9.8087,-0.0908656,1.4,-2.31,-0.49,21.6007,-50.0996,-18.6501,1023.31
209462,0.363462,9.85653,-0.11956,1.19,-1.96,-0.42,21.0486,-49.9146,-18.2807,1023.33
209468,0.363462,9.84218,-0.0573888,1.05,-1.96,0.28,22.24,-50.2847,-17.9556,1023.33
209474,0.382592,9.80392,-0.0860832,1.47,-2.31,-0.42,21.8041,-49.3286,-19.2855,1023.32
209480,0.344333,9.8374,-0.0813008,1.47,-2.45,-0.14,20.9324,-48.7118,-17.867,1023.32
209486,0.387374,9.81827,-0.10043,1.19,-2.1,-0.07,21.5717,-50.7164,-18.5172,1023.32
209492,0.353898,9.81827,-0.047824,1.33,-2.1,0.21,21.746,-49.6062,-17.9113,1023.32
209498,0.416069,9.81349,-0.0765184,1.4,-2.38,-0.21,21.2811,-49.5753,-18.9013,1023.3
209504,0.396939,9.82783,-0.10043,1.4,-2.31,-0.35,20.9034,-50.0379,-18.7684,1023.3
209510,0.430416,9.84696,-0.0573888,1.12,-2.45,-0.14,21.4554,-50.3155,-18.1034,1023.3
209516,0.396939,9.83261,-0.0669536,1.33,-1.89,-0.07,21.5135,-49.6062,-19.5072,1023.32
209522,0.425634,9.82305,-0.0908656,1.26,-2.59,-0.07,21.7169,-49.4212,-18.7831,1023.32
209528,0.416069,9.83261,-0.0908656,1.19,-2.31,0.07,21.3101,-50.9631,-18.9752,1023.33
209534,0.406504,9.82783,-0.095648,1.19,-1.89,-0.42,21.746,-50.4389,-18.1477,1023.33
209540,0.411286,9.81827,-0.105213,1.05,-2.17,-0.07,21.7169,-49.8529,-18.6501,1023.36
209546,0.411286,9.84218,-0.071736,1.05,-2.38,0.21,21.5426,-50.0688,-17.8374,1023.36
209552,0.387374,9.83261,-0.0860832,1.05,-1.96,0,21.746,-49.9454,-18.0739,1023.32
209558,0.35868,9.82305,-0.071736,1.47,-2.1,-0.63,20.4675,-50.1305,-18.6649,1023.32
209564,0.473458,9.77044,-0.153037,0.77,-2.17,-0.07,21.3683,-50.2538,-19.2412,1023.32
209570,0.33955,9.69871,-0.0095648,1.33,-2.38,-0.07,22.0075,-50.9015,-18.2512,1023.31
209576,0.387374,9.83261,-0.10043,1.26,-2.31,-0.07,21.5135,-49.1744,-18.9309,1023.31
209582,0.368245,9.82783,-0.10043,0.98,-2.52,-0.07,21.5135,-49.5445,-18.7831,1023.33
209588,0.368245,9.81827,-0.0908656,1.4,-2.17,-0.21,21.6298,-50.223,-18.0591,1023.33
209594,0.35868,9.82783,-0.0621712,1.26,-2.17,0.14,22.24,-50.223,-18.5024,1023.32
209600,0.411286,9.83261,-0.071736,1.33,-2.52,0.07,22.1237,-50.0996,-18.3694,1023.32
209606,0.425634,9.81827,-0.11956,1.54,-2.38,0,22.3562,-50.5314,-17.7783,1023.31
209612,0.411286,9.82783,-0.0430416,1.68,-2.24,0.14,22.0656,-50.408,-17.8227,1023.31
209618,0.444763,9.83261,-0.071736,1.54,-2.31,-0.35,22.0366,-48.9586,-19.3151,1023.32
209624,0.401722,9.85653,-0.153037,1.12,-2.31,-0.49,21.4845,-50.0688,-18.4876,1023.32
209630,0.425634,9.85174,-0.143472,1.4,-1.96,-0.28,21.8622,-49.8221,-17.3794,1023.32
209636,0.411286,9.85174,-0.129125,0.77,-1.68,0.07,21.5717,-49.4828,-17.7192,1023.31
209642,0.411286,9.83261,-0.0908656,1.05,-2.24,-0.63,21.6007,-50.5931,-19.9652,1023.31
209648,0.406504,9.84696,-0.11956,0.98,-1.54,-0.21,21.8332,-50.4697,-18.1477,1023.35
209654,0.35868,9.82783,-0.0621712,0.98,-2.17,-0.42,22.0075,-49.9763,-16.744,1023.35
209660,0.35868,9.84218,-0.0382592,1.26,-1.96,-0.42,21.3101,-49.1744,-18.4137,1023.32
209666,0.344333,9.80392,-0.0382592,1.33,-1.89,-0.21,21.252,-50.223,-18.0591,1023.32
209672,0.387374,9.84218,-0.095648,1.89,-2.38,-0.21,22.3271,-49.5445,-19.0343,1023.31
209678,0.392157,9.86609,-0.133907,1.19,-2.17,-0.49,21.8622,-49.4828,-18.6501,1023.31
209684,0.387374,9.78957,-0.0382592,0.98,-2.1,-0.35,22.0075,-50.0996,-18.6945,1023.31
209690,0.329986,9.76088,0.0191296,1.19,-2.17,0.28,21.9494,-50.0379,-17.4533,1023.32
209696,0.368245,9.80392,-0.0765184,1.68,-2.45,0.49,22.4143,-49.9763,-17.9113,1023.32
209702,0.420851,9.87087,-0.162602,0.84,-2.45,-0.49,21.5717,-48.9894,-18.591,1023.33
209708,0.373027,9.80392,-0.0047824,1.19,-2.66,0,22.4434,-49.7604,-18.7831,1023.33
209714,0.435198,9.81827,-0.071736,1.47,-2.1,-0.07,21.8041,-49.4828,-17.601,1023.29
209720,0.411286,9.89,-0.11956,1.12,-2.59,0.07,20.8743,-49.2978,-18.6501,1023.29
209726,0.411286,9.81349,-0.0430416,1.61,-2.59,0.14,22.2981,-50.2538,-18.3251,1023.32
209732,0.444763,9.81349,-0.0908656,1.26,-2.38,-0.07,22.0656,-50.0688,-17.5567,1023.32
209738,0.396939,9.84218,-0.10043,1.47,-2.8,0.21,21.4554,-49.3903,-19.1082,1023.32
209744,0.382592,9.83261,-0.0765184,1.19,-2.03,0,20.9905,-50.0688,-19.4776,1023.34
209750,0.368245,9.83261,-0.105213,1.54,-2.1,-0.49,21.9494,-49.8837,-17.7045,1023.34
209756,0.363462,9.82305,-0.071736,1.33,-2.24,-0.35,21.6298,-49.2978,-18.591,1023.33
209762,0.363462,9.78957,-0.0526064,1.47,-2.24,0.14,21.6879,-50.8706,-18.4876,1023.33
209768,0.382592,9.80392,-0.0908656,1.4,-2.03,-0.07,22.4434,-49.9146,-17.4237,1023.33
209774,0.382592,9.79914,-0.047824,1.68,-2.66,-0.14,21.4264,-50.0071,-18.5467,1023.33
209780,0.37781,9.81349,-0.095648,1.68,-2.45,0.14,21.9785,-49.5753,-18.8422,1023.36
209786,0.363462,9.84218,-0.105213,1.96,-2.59,-0.35,22.1528,-51.0248,-17.4237,1023.36
209792,0.387374,9.82305,-0.095648,1.4,-2.73,0.21,21.5135,-50.408,-18.4433,1023.36
209798,0.368245,9.79914,-0.0621712,1.4,-2.24,0.21,20.8162,-49.8221,-18.8718,1023.32
209804,0.420851,9.84218,-0.0908656,1.54,-2.52,0,21.4264,-49.7604,-17.8227,1023.32
209810,0.382592,9.81827,-0.0860832,1.26,-2.38,0.21,21.746,-50.7164,-17.9852,1023.32
209816,0.401722,9.79436,-0.105213,1.96,-2.45,0.63,21.8332,-50.0688,-17.6306,1023.32
209822,0.363462,9.82783,-0.0908656,1.33,-2.66,0.07,22.1818,-49.6987,-19.7731,1023.33
